Client selection history
Round 0, selected: [5, 4] 
Round 1, selected: [9, 1] 
Round 2, selected: [3, 0] 
Round 3, selected: [1, 9] 
Round 4, selected: [4, 2] 
Round 5, selected: [3, 7] 
Round 6, selected: [1, 8] 
Round 7, selected: [7, 6] 
Round 8, selected: [0, 9] 
Round 9, selected: [5, 2] 
Round 10, selected: [5, 4] 
Round 11, selected: [5, 6] 
Round 12, selected: [9, 1] 
Round 13, selected: [3, 4] 
Round 14, selected: [7, 3] 
Round 15, selected: [7, 1] 
Round 16, selected: [3, 4] 
Round 17, selected: [9, 3] 
Round 18, selected: [6, 1] 
Round 19, selected: [1, 7] 
Round 20, selected: [1, 2] 
Round 21, selected: [8, 5] 
Round 22, selected: [0, 3] 
Round 23, selected: [5, 6] 
Round 24, selected: [4, 7] 
Round 25, selected: [4, 0] 
Round 26, selected: [4, 5] 
Round 27, selected: [7, 2] 
Round 28, selected: [5, 6] 
Round 29, selected: [8, 5] 
Round 30, selected: [9, 0] 
Round 31, selected: [5, 0] 
Round 32, selected: [1, 0] 
Round 33, selected: [9, 4] 
Round 34, selected: [0, 6] 
Round 35, selected: [9, 6] 
Round 36, selected: [7, 5] 
Round 37, selected: [4, 3] 
Round 38, selected: [5, 9] 
Round 39, selected: [2, 3] 
Round 40, selected: [0, 8] 
Round 41, selected: [9, 6] 
Round 42, selected: [2, 3] 
Round 43, selected: [6, 2] 
Round 44, selected: [1, 5] 
Round 45, selected: [9, 3] 
Round 46, selected: [8, 6] 
Round 47, selected: [4, 6] 
Round 48, selected: [8, 6] 
Round 49, selected: [4, 8] 
