Client selection history
Round 0, selected: [0, 7] 
Round 1, selected: [8, 9] 
Round 2, selected: [0, 8] 
Round 3, selected: [0, 8] 
Round 4, selected: [7, 9] 
Round 5, selected: [5, 2] 
Round 6, selected: [3, 1] 
Round 7, selected: [1, 2] 
Round 8, selected: [4, 9] 
Round 9, selected: [0, 8] 
Round 10, selected: [2, 7] 
Round 11, selected: [3, 9] 
Round 12, selected: [2, 9] 
Round 13, selected: [2, 9] 
Round 14, selected: [8, 2] 
Round 15, selected: [2, 4] 
Round 16, selected: [6, 3] 
Round 17, selected: [1, 7] 
Round 18, selected: [4, 9] 
Round 19, selected: [3, 2] 
Round 20, selected: [6, 5] 
Round 21, selected: [7, 0] 
Round 22, selected: [7, 8] 
Round 23, selected: [0, 1] 
Round 24, selected: [3, 5] 
Round 25, selected: [5, 4] 
Round 26, selected: [0, 6] 
Round 27, selected: [7, 3] 
Round 28, selected: [2, 8] 
Round 29, selected: [6, 1] 
Round 30, selected: [0, 2] 
Round 31, selected: [5, 8] 
Round 32, selected: [2, 1] 
Round 33, selected: [3, 5] 
Round 34, selected: [9, 3] 
Round 35, selected: [0, 6] 
Round 36, selected: [9, 1] 
Round 37, selected: [1, 0] 
Round 38, selected: [8, 1] 
Round 39, selected: [7, 2] 
Round 40, selected: [1, 2] 
Round 41, selected: [8, 5] 
Round 42, selected: [6, 0] 
Round 43, selected: [9, 6] 
Round 44, selected: [0, 8] 
Round 45, selected: [3, 2] 
Round 46, selected: [8, 1] 
Round 47, selected: [9, 7] 
Round 48, selected: [9, 5] 
Round 49, selected: [5, 2] 
