Client selection history
Round 1, selected: [93, 86, 26] 
Round 2, selected: [12, 55, 86] 
Round 3, selected: [93, 26, 12] 
Round 4, selected: [8, 45, 31] 
Round 5, selected: [14, 93, 85] 
Round 6, selected: [83, 91, 3] 
Round 7, selected: [45, 25, 3] 
Round 8, selected: [91, 3, 86] 
Round 9, selected: [83, 26, 55] 
Round 10, selected: [22, 39, 45] 
Round 11, selected: [55, 45, 26] 
Round 12, selected: [90, 86, 3] 
Round 13, selected: [31, 91, 54] 
Round 14, selected: [3, 26, 86] 
Round 15, selected: [31, 90, 91] 
Round 16, selected: [99, 90, 83] 
Round 17, selected: [31, 45, 3] 
Round 18, selected: [4, 90, 39] 
Round 19, selected: [31, 35, 30] 
Round 20, selected: [46, 83, 86] 
Round 21, selected: [9, 30, 3] 
Round 22, selected: [31, 91, 83] 
Round 23, selected: [3, 30, 35] 
Round 24, selected: [99, 45, 31] 
Round 25, selected: [86, 3, 83] 
Round 26, selected: [99, 28, 30] 
Round 27, selected: [99, 5, 31] 
Round 28, selected: [99, 73, 35] 
Round 29, selected: [9, 99, 28] 
Round 30, selected: [99, 9, 91] 
Round 31, selected: [99, 5, 28] 
Round 32, selected: [99, 5, 35] 
Round 33, selected: [99, 5, 30] 
Round 34, selected: [99, 5, 28] 
Round 35, selected: [99, 82, 31] 
Round 36, selected: [99, 64, 28] 
Round 37, selected: [99, 35, 91] 
Round 38, selected: [9, 30, 64] 
Round 39, selected: [99, 88, 10] 
Round 40, selected: [5, 55, 68] 
Selected 32 different clients
Round 19, never again choosing [4, 90, 39]
Round 26, never again choosing [86, 3, 83]
Round 40, never again choosing [99, 88, 10]
