Client selection history
Round 1, selected: [141, 149, 144, 174, 129, 160, 124, 138, 101, 66, 168, 1, 91, 152, 71, 187, 27, 164, 179, 106] 
Round 2, selected: [93, 111, 44, 70, 134, 182, 199, 81, 102, 180, 181, 163, 156, 25, 0, 174, 167, 23, 166, 53] 
Round 3, selected: [198, 100, 137, 1, 112, 10, 37, 152, 52, 120, 127, 189, 140, 110, 94, 85, 59, 180, 20, 144] 
Round 4, selected: [113, 161, 18, 36, 32, 128, 23, 124, 125, 139, 72, 108, 99, 127, 109, 102, 94, 160, 49, 153] 
Round 5, selected: [185, 104, 84, 96, 172, 125, 113, 188, 47, 19, 149, 29, 195, 67, 82, 152, 39, 24, 23, 170] 
Round 6, selected: [115, 69, 86, 167, 110, 91, 191, 70, 198, 192, 181, 30, 93, 26, 17, 138, 60, 137, 48, 187] 
Round 7, selected: [172, 80, 191, 192, 19, 136, 95, 28, 166, 8, 68, 75, 161, 87, 56, 20, 185, 104, 176, 167] 
Round 8, selected: [196, 27, 87, 66, 189, 140, 67, 197, 166, 105, 152, 25, 115, 134, 93, 192, 151, 75, 9, 85] 
Round 9, selected: [66, 1, 124, 168, 30, 43, 125, 172, 138, 27, 68, 3, 175, 151, 191, 57, 52, 158, 194, 184] 
Round 10, selected: [156, 175, 62, 39, 103, 84, 73, 127, 30, 186, 79, 112, 31, 33, 144, 27, 129, 183, 47, 111] 
Round 11, selected: [0, 155, 54, 101, 167, 170, 125, 147, 89, 185, 141, 135, 133, 100, 103, 148, 62, 23, 182, 110] 
Round 12, selected: [172, 107, 196, 181, 177, 130, 159, 173, 8, 186, 90, 102, 100, 50, 114, 161, 3, 136, 80, 75] 
Round 13, selected: [171, 173, 102, 92, 91, 142, 7, 170, 137, 132, 127, 112, 30, 46, 177, 197, 69, 78, 53, 5] 
Round 14, selected: [109, 22, 54, 187, 147, 183, 45, 91, 47, 132, 56, 162, 199, 97, 21, 61, 19, 167, 87, 189] 
Round 15, selected: [135, 115, 36, 64, 144, 186, 15, 34, 105, 150, 54, 38, 57, 158, 55, 110, 165, 159, 96, 37] 
Round 16, selected: [78, 15, 139, 123, 7, 121, 67, 5, 185, 134, 23, 195, 163, 184, 113, 152, 183, 118, 190, 60] 
Round 17, selected: [104, 196, 162, 144, 168, 47, 186, 14, 142, 184, 139, 155, 109, 44, 119, 5, 66, 103, 78, 45] 
Round 18, selected: [147, 73, 132, 25, 1, 184, 101, 177, 198, 90, 112, 15, 106, 192, 79, 105, 150, 114, 80, 93] 
Round 19, selected: [50, 180, 85, 42, 39, 44, 190, 55, 134, 136, 101, 75, 199, 36, 119, 21, 185, 122, 189, 103] 
Round 20, selected: [140, 11, 70, 7, 69, 136, 75, 154, 14, 79, 118, 31, 76, 193, 113, 138, 82, 163, 50, 128] 
Round 21, selected: [120, 134, 155, 151, 131, 178, 45, 147, 176, 191, 138, 173, 154, 132, 90, 25, 2, 104, 50, 169] 
Round 22, selected: [30, 143, 169, 194, 72, 132, 173, 37, 25, 145, 125, 121, 100, 190, 180, 21, 187, 151, 111, 22] 
Round 23, selected: [76, 139, 73, 48, 182, 193, 194, 159, 36, 40, 173, 79, 18, 31, 130, 90, 49, 32, 66, 57] 
Round 24, selected: [51, 172, 122, 131, 92, 17, 180, 66, 58, 55, 61, 152, 4, 109, 89, 95, 49, 171, 57, 134] 
Round 25, selected: [15, 107, 160, 29, 45, 136, 146, 26, 82, 165, 115, 168, 84, 81, 10, 93, 61, 147, 73, 125] 
Round 26, selected: [96, 167, 146, 45, 166, 16, 85, 3, 114, 148, 60, 59, 149, 90, 56, 21, 20, 13, 162, 134] 
Round 27, selected: [130, 141, 186, 134, 140, 57, 124, 178, 161, 176, 107, 198, 131, 194, 91, 157, 34, 160, 89, 163] 
Round 28, selected: [107, 192, 44, 106, 177, 90, 100, 144, 10, 24, 191, 8, 34, 185, 113, 168, 80, 128, 119, 29] 
Round 29, selected: [129, 83, 75, 32, 115, 107, 35, 196, 130, 39, 13, 69, 175, 15, 90, 48, 55, 151, 155, 46] 
Round 30, selected: [30, 197, 199, 68, 179, 198, 91, 129, 156, 138, 141, 90, 75, 13, 34, 47, 142, 66, 55, 115] 
Round 31, selected: [52, 80, 116, 168, 67, 141, 112, 17, 66, 120, 62, 82, 113, 187, 114, 73, 44, 176, 69, 81] 
Round 32, selected: [132, 43, 1, 11, 183, 16, 50, 77, 38, 197, 135, 56, 83, 21, 29, 37, 0, 57, 96, 113] 
Round 33, selected: [72, 8, 154, 170, 152, 181, 85, 43, 11, 30, 197, 172, 123, 108, 122, 5, 165, 114, 34, 23] 
Round 34, selected: [68, 180, 140, 126, 84, 128, 86, 65, 179, 12, 169, 104, 103, 109, 50, 20, 181, 54, 186, 51] 
Round 35, selected: [57, 190, 110, 12, 41, 198, 114, 146, 138, 65, 117, 76, 45, 170, 60, 78, 182, 55, 133, 1] 
Round 36, selected: [70, 153, 48, 127, 110, 40, 100, 175, 135, 140, 145, 79, 39, 191, 73, 22, 112, 88, 164, 128] 
Round 37, selected: [6, 124, 39, 102, 73, 148, 24, 127, 185, 104, 15, 150, 76, 155, 165, 183, 152, 16, 195, 122] 
Round 38, selected: [37, 30, 109, 65, 23, 27, 152, 117, 133, 155, 75, 26, 46, 139, 73, 172, 42, 183, 146, 19] 
Round 39, selected: [66, 180, 56, 151, 4, 198, 0, 171, 92, 6, 23, 94, 127, 162, 3, 16, 76, 148, 139, 78] 
Round 40, selected: [141, 59, 37, 179, 128, 94, 84, 171, 147, 91, 142, 129, 160, 26, 114, 197, 135, 119, 115, 25] 
Round 41, selected: [17, 98, 14, 189, 77, 155, 160, 31, 121, 48, 66, 50, 36, 196, 112, 19, 184, 25, 186, 49] 
Round 42, selected: [82, 50, 20, 193, 192, 87, 149, 53, 32, 150, 129, 137, 17, 103, 59, 155, 81, 127, 18, 100] 
Round 43, selected: [22, 171, 39, 32, 127, 7, 190, 31, 178, 94, 51, 164, 133, 93, 128, 81, 199, 116, 126, 140] 
Round 44, selected: [83, 69, 184, 75, 77, 31, 112, 174, 106, 118, 134, 18, 59, 8, 144, 99, 145, 48, 45, 13] 
Round 45, selected: [141, 150, 44, 89, 101, 47, 133, 97, 139, 1, 61, 48, 116, 53, 5, 136, 67, 183, 176, 66] 
Round 46, selected: [121, 167, 11, 24, 87, 122, 172, 16, 165, 142, 193, 34, 180, 173, 85, 37, 25, 151, 5, 65] 
Round 47, selected: [136, 80, 67, 125, 149, 34, 61, 25, 100, 15, 58, 23, 57, 163, 102, 160, 152, 83, 176, 10] 
Round 48, selected: [177, 64, 169, 29, 178, 174, 76, 130, 175, 12, 161, 133, 80, 190, 49, 132, 176, 42, 115, 196] 
Round 49, selected: [115, 168, 198, 36, 70, 67, 89, 147, 96, 97, 101, 199, 130, 98, 88, 194, 179, 162, 50, 119] 
Round 50, selected: [71, 142, 108, 40, 188, 178, 58, 48, 17, 191, 65, 154, 162, 155, 47, 11, 150, 197, 1, 35] 
Round 51, selected: [95, 136, 31, 153, 108, 81, 76, 102, 120, 122, 184, 46, 109, 78, 77, 47, 114, 27, 94, 186] 
Round 52, selected: [139, 88, 198, 130, 103, 85, 53, 65, 154, 45, 25, 38, 97, 55, 2, 29, 21, 44, 107, 132] 
Round 53, selected: [186, 13, 114, 106, 126, 15, 128, 105, 167, 121, 5, 33, 162, 60, 9, 63, 102, 7, 70, 192] 
Round 54, selected: [175, 130, 47, 192, 126, 198, 68, 74, 153, 112, 135, 46, 173, 125, 160, 34, 172, 73, 194, 70] 
Round 55, selected: [182, 97, 67, 88, 17, 105, 7, 169, 42, 23, 50, 127, 9, 80, 43, 62, 104, 196, 63, 33] 
Round 56, selected: [89, 187, 84, 55, 15, 102, 36, 108, 127, 140, 121, 182, 181, 134, 135, 2, 150, 59, 8, 67] 
Round 57, selected: [80, 89, 191, 162, 16, 192, 185, 125, 142, 199, 121, 72, 33, 15, 21, 107, 52, 138, 140, 49] 
Round 58, selected: [100, 130, 91, 64, 12, 47, 73, 101, 7, 170, 86, 33, 76, 29, 168, 164, 189, 71, 92, 24] 
Round 59, selected: [4, 176, 96, 146, 138, 193, 83, 95, 153, 58, 194, 17, 143, 47, 167, 154, 142, 91, 32, 129] 
Round 60, selected: [181, 34, 47, 51, 180, 35, 61, 130, 132, 98, 81, 16, 3, 176, 38, 11, 58, 121, 183, 138] 
Selected 200 different clients
