Client selection history
Round 1, selected: [152, 149, 1, 160, 187, 71, 98, 130, 174, 95, 52, 42, 191, 109, 129, 124, 44, 66, 144, 72] 
Round 2, selected: [131, 36, 76, 182, 93, 66, 179, 0, 103, 87, 22, 102, 38, 1, 135, 158, 108, 154, 77, 12] 
Round 3, selected: [168, 122, 72, 126, 18, 125, 6, 180, 144, 52, 81, 113, 146, 89, 157, 149, 94, 162, 198, 83] 
Round 4, selected: [76, 182, 82, 187, 43, 91, 127, 195, 96, 162, 59, 12, 199, 86, 157, 71, 154, 5, 116, 23] 
Round 5, selected: [150, 124, 56, 186, 126, 73, 104, 156, 168, 117, 163, 145, 196, 146, 93, 164, 9, 72, 67, 70] 
Round 6, selected: [3, 31, 128, 41, 50, 17, 165, 19, 42, 22, 36, 122, 60, 140, 48, 51, 190, 101, 181, 188] 
Round 7, selected: [53, 189, 18, 45, 125, 49, 73, 198, 137, 149, 185, 66, 110, 70, 93, 161, 192, 167, 67, 42] 
Round 8, selected: [119, 76, 17, 25, 148, 38, 30, 149, 66, 132, 89, 173, 103, 8, 20, 58, 39, 190, 180, 51] 
Round 9, selected: [81, 80, 48, 68, 13, 73, 45, 49, 198, 63, 23, 131, 6, 64, 83, 125, 35, 28, 104, 101] 
Round 10, selected: [152, 119, 187, 171, 69, 1, 25, 55, 42, 149, 122, 44, 15, 24, 166, 103, 160, 26, 194, 196] 
Round 11, selected: [7, 32, 79, 131, 52, 93, 6, 151, 77, 177, 13, 168, 106, 51, 28, 95, 12, 143, 150, 135] 
Round 12, selected: [187, 19, 41, 0, 69, 4, 30, 60, 39, 74, 122, 33, 179, 98, 190, 97, 78, 191, 99, 59] 
Round 13, selected: [79, 101, 57, 114, 184, 124, 23, 177, 65, 131, 16, 62, 110, 175, 0, 125, 52, 167, 185, 169] 
Round 14, selected: [119, 193, 171, 128, 38, 60, 33, 140, 178, 42, 179, 164, 58, 20, 107, 96, 8, 118, 3, 50] 
Round 15, selected: [137, 7, 199, 132, 57, 6, 80, 153, 163, 10, 154, 28, 126, 63, 62, 37, 27, 81, 5, 197] 
Round 16, selected: [106, 182, 69, 170, 160, 23, 157, 147, 33, 120, 165, 171, 86, 166, 178, 195, 190, 4, 155, 77] 
Round 17, selected: [53, 174, 117, 114, 64, 176, 150, 109, 0, 40, 132, 16, 37, 27, 126, 28, 124, 163, 85, 21] 
Round 18, selected: [143, 96, 195, 185, 158, 54, 98, 180, 65, 121, 115, 11, 149, 66, 190, 2, 13, 188, 151, 49] 
Round 19, selected: [150, 95, 114, 189, 81, 100, 85, 176, 20, 101, 156, 110, 36, 19, 31, 145, 173, 10, 132, 26] 
Round 20, selected: [91, 106, 75, 147, 111, 138, 69, 71, 89, 1, 66, 49, 162, 31, 126, 5, 194, 199, 119, 21] 
Round 21, selected: [172, 84, 192, 79, 33, 64, 40, 81, 183, 92, 112, 104, 129, 25, 153, 103, 15, 163, 95, 93] 
Round 22, selected: [17, 127, 106, 28, 50, 171, 1, 100, 140, 141, 149, 53, 6, 169, 185, 138, 7, 98, 132, 39] 
Round 23, selected: [72, 123, 94, 92, 43, 196, 159, 86, 103, 107, 39, 154, 14, 169, 8, 19, 193, 127, 121, 41] 
Round 24, selected: [167, 47, 142, 133, 165, 105, 178, 187, 144, 179, 115, 125, 58, 106, 75, 88, 87, 104, 99, 91] 
Round 25, selected: [159, 127, 48, 68, 149, 141, 67, 120, 157, 153, 111, 20, 102, 193, 56, 39, 135, 166, 179, 104] 
Round 26, selected: [31, 72, 136, 19, 100, 115, 133, 191, 167, 183, 28, 175, 29, 25, 46, 144, 65, 52, 164, 68] 
Round 27, selected: [192, 48, 32, 7, 137, 79, 36, 183, 65, 127, 56, 131, 157, 139, 18, 75, 35, 21, 129, 26] 
Round 28, selected: [72, 31, 55, 139, 15, 58, 170, 26, 87, 187, 133, 168, 35, 24, 105, 42, 164, 33, 127, 45] 
Round 29, selected: [14, 79, 159, 141, 192, 130, 47, 95, 18, 175, 8, 12, 120, 124, 42, 140, 156, 149, 40, 85] 
Round 30, selected: [194, 33, 82, 66, 43, 39, 192, 173, 54, 183, 129, 178, 132, 112, 12, 21, 162, 191, 122, 35] 
Round 31, selected: [48, 125, 73, 68, 159, 189, 141, 175, 114, 156, 85, 154, 44, 62, 3, 134, 45, 76, 108, 51] 
Round 32, selected: [55, 74, 193, 46, 34, 72, 88, 171, 102, 169, 164, 148, 183, 142, 86, 78, 195, 143, 9, 64] 
Round 33, selected: [14, 7, 137, 0, 56, 140, 128, 10, 6, 119, 63, 103, 123, 44, 111, 55, 172, 80, 183, 144] 
Round 34, selected: [2, 30, 160, 35, 152, 191, 92, 94, 19, 180, 46, 75, 155, 135, 103, 33, 122, 95, 187, 101] 
Round 35, selected: [174, 159, 141, 11, 137, 0, 22, 108, 111, 57, 127, 153, 140, 185, 34, 132, 170, 98, 94, 1] 
Round 36, selected: [88, 9, 118, 102, 105, 2, 34, 107, 181, 173, 35, 76, 125, 179, 55, 47, 101, 188, 68, 130] 
Round 37, selected: [79, 7, 174, 184, 108, 0, 17, 15, 137, 130, 76, 121, 119, 124, 107, 95, 157, 88, 86, 106] 
Round 38, selected: [161, 134, 72, 99, 152, 43, 160, 67, 159, 169, 103, 59, 29, 157, 74, 38, 112, 116, 70, 143] 
Round 39, selected: [7, 82, 0, 108, 130, 152, 114, 73, 8, 165, 115, 124, 11, 120, 196, 30, 189, 197, 192, 148] 
Round 40, selected: [194, 159, 192, 166, 186, 90, 86, 110, 75, 32, 36, 74, 167, 107, 83, 105, 120, 6, 181, 51] 
Round 41, selected: [182, 82, 79, 28, 41, 100, 94, 66, 20, 3, 104, 16, 72, 146, 8, 179, 50, 32, 178, 34] 
