Client selection historyRound 0, selected: [7, 8] 
Round 1, selected: [3, 9] 
Round 2, selected: [7, 8] 
Round 3, selected: [3, 9] 
Round 4, selected: [7, 8] 
Round 5, selected: [3, 9] 
Round 6, selected: [7, 8] 
Round 7, selected: [3, 9] 
Round 8, selected: [7, 8] 
Round 9, selected: [3, 9] 
Round 10, selected: [7, 8] 
Round 11, selected: [3, 9] 
Round 12, selected: [7, 8] 
Round 13, selected: [3, 9] 
Round 14, selected: [7, 8] 
Round 15, selected: [3, 9] 
Round 16, selected: [7, 8] 
Round 17, selected: [3, 9] 
Round 18, selected: [7, 8] 
Round 19, selected: [3, 9] 
Round 20, selected: [7, 8] 
Round 21, selected: [3, 9] 
Round 22, selected: [7, 8] 
Round 23, selected: [3, 9] 
Round 24, selected: [7, 8] 
Round 25, selected: [3, 9] 
Round 26, selected: [7, 8] 
Round 27, selected: [3, 9] 
Round 28, selected: [7, 8] 
Round 29, selected: [3, 9] 
Round 30, selected: [7, 8] 
Round 31, selected: [3, 9] 
Round 32, selected: [7, 8] 
Round 33, selected: [3, 9] 
Round 34, selected: [7, 8] 
Round 35, selected: [3, 9] 
Round 36, selected: [7, 8] 
Round 37, selected: [3, 9] 
Round 38, selected: [7, 8] 
Round 39, selected: [3, 9] 
Round 40, selected: [7, 8] 
Round 41, selected: [3, 9] 
Round 42, selected: [7, 8] 
Round 43, selected: [3, 9] 
Round 44, selected: [7, 8] 
Round 45, selected: [3, 9] 
Round 46, selected: [7, 8] 
Round 47, selected: [3, 9] 
Round 48, selected: [7, 8] 
Round 49, selected: [3, 9] 
