Client selection history
Round 0, selected: [5 4] 
Round 1, selected: [1 9] 
Round 2, selected: [3 0] 
Round 3, selected: [8 1] 
Round 4, selected: [0 2] 
Round 5, selected: [6 3] 
Round 6, selected: [1 8] 
Round 7, selected: [4 5] 
Round 8, selected: [7 9] 
Round 9, selected: [1 0] 
Round 10, selected: [5 2] 
Round 11, selected: [5 7] 
Round 12, selected: [1 9] 
Round 13, selected: [3 6] 
Round 14, selected: [8 0] 
Round 15, selected: [3 7] 
Round 16, selected: [1 2] 
Round 17, selected: [1 3] 
Round 18, selected: [2 6] 
Round 19, selected: [3 8] 
Round 20, selected: [1 6] 
Round 21, selected: [1 6] 
Round 22, selected: [1 2] 
Round 23, selected: [9 4] 
Round 24, selected: [6 7] 
Round 25, selected: [5 6] 
Round 26, selected: [7 4] 
Round 27, selected: [0 4] 
Round 28, selected: [4 5] 
Round 29, selected: [2 7] 
Round 30, selected: [7 5] 
Round 31, selected: [4 7] 
Round 32, selected: [3 1] 
Round 33, selected: [0 4] 
Round 34, selected: [0 5] 
Round 35, selected: [0 1] 
Round 36, selected: [9 4] 
Round 37, selected: [8 6] 
Round 38, selected: [8 0] 
Round 39, selected: [7 6] 
Round 40, selected: [2 5] 
Round 41, selected: [9 3] 
Round 42, selected: [9 5] 
Round 43, selected: [3 2] 
Round 44, selected: [8 0] 
Round 45, selected: [6 7] 
Round 46, selected: [2 3] 
Round 47, selected: [8 6] 
Round 48, selected: [2 1] 
Round 49, selected: [5 0] 
Round 50, selected: [3 6] 
Round 51, selected: [4 6] 
Round 52, selected: [6 8] 
Round 53, selected: [8 4] 
Round 54, selected: [4 8] 
Round 55, selected: [5 8] 
Round 56, selected: [5 9] 
Round 57, selected: [1 9] 
Round 58, selected: [8 2] 
Round 59, selected: [1 5] 
Round 60, selected: [5 6] 
Round 61, selected: [7 9] 
Round 62, selected: [7 9] 
Round 63, selected: [5 8] 
Round 64, selected: [4 0] 
Round 65, selected: [4 7] 
Round 66, selected: [2 8] 
Round 67, selected: [1 0] 
Round 68, selected: [8 0] 
Round 69, selected: [7 0] 
Round 70, selected: [4 9] 
Round 71, selected: [9 6] 
Round 72, selected: [0 8] 
Round 73, selected: [5 7] 
Round 74, selected: [1 4] 
Round 75, selected: [8 1] 
Round 76, selected: [0 6] 
Round 77, selected: [2 6] 
Round 78, selected: [2 3] 
Round 79, selected: [9 0] 
Round 80, selected: [2 4] 
Round 81, selected: [6 9] 
Round 82, selected: [0 6] 
Round 83, selected: [6 9] 
Round 84, selected: [4 0] 
Round 85, selected: [1 5] 
Round 86, selected: [1 8] 
Round 87, selected: [3 5] 
Round 88, selected: [1 9] 
Round 89, selected: [0 4] 
Round 90, selected: [0 9] 
Round 91, selected: [1 4] 
Round 92, selected: [8 9] 
Round 93, selected: [6 3] 
Round 94, selected: [9 8] 
Round 95, selected: [4 7] 
Round 96, selected: [6 9] 
Round 97, selected: [3 2] 
Round 98, selected: [5 3] 
Round 99, selected: [0 5] 
